Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract
"Montaldo G., Tanter M., Bercoff J., Benech N., Fink M.",Coherent plane-wave compounding for very high frame rate ultrasonography and transient elastography,2009,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65349145884&doi=10.1109%2fTUFFC.2009.1067&partnerID=40&md5=e2056116bf2a1e61012e18ca48905eb8,"Laboratoire Ondes et Acoustique, Ecole Supérieure de Physique et Chimie Industrielles (ESPCI), INSERM, Paris, France; SuperSonic Imagine les Jardins de la Duranne, Aixen Provence, France; Instituto de Fisica, Facultad de Ciencias, Montevideo, Uruguay","Montaldo, G., Laboratoire Ondes et Acoustique, Ecole Supérieure de Physique et Chimie Industrielles (ESPCI), INSERM, Paris, France; Tanter, M., Laboratoire Ondes et Acoustique, Ecole Supérieure de Physique et Chimie Industrielles (ESPCI), INSERM, Paris, France; Bercoff, J., SuperSonic Imagine les Jardins de la Duranne, Aixen Provence, France; Benech, N., Instituto de Fisica, Facultad de Ciencias, Montevideo, Uruguay; Fink, M., Laboratoire Ondes et Acoustique, Ecole Supérieure de Physique et Chimie Industrielles (ESPCI), INSERM, Paris, France","The emergence of ultrafast frame rates in ultrasonic imaging has been recently made possible by the development of new imaging modalities such as transient elastography. Data acquisition rates reaching more than thousands of images per second enable the real-time visualization of shear mechanical waves propagating in biological tissues, which convey information about local viscoelastic properties of tissues. The first proposed approach for reaching such ultrafast frame rates consists of transmitting plane waves into the medium. However, because the beamforming process is then restricted to the receive mode, the echographic images obtained in the ultrafast mode suffer from a low quality in terms of resolution and contrast and affect the robustness of the transient elastography mode. It is here proposed to improve the beamforming process by using a coherent recombination of compounded plane-wave transmissions to recover high-quality echographic images without degrading the high frame rate capabilities. A theoretical model is derived for the comparison between the proposed method and the conventional B-mode imaging in terms of contrast, signal-to-noise ratio, and resolution. Our model predicts that a significantly smaller number of insonifications, 10 times lower, is sufficient to reach an image quality comparable to conventional B-mode. Theoretical predictions are confirmed by in vitro experiments performed in tissue-mimicking phantoms. Such results raise the appeal of coherent compounds for use with standard imaging modes such as B-mode or color flow. Moreover, in the context of transient elastography, ultrafast frame rates can be preserved while increasing the image quality compared with flat insonifications. Improvements on the transient elastography mode are presented and discussed. © 2006 IEEE."
"Silveira F., Flandre D., Jespers P.G.A.",A gm/ID based methodology for the design of CMOS analog circuits and its application to the synthesis of a silicon-on-insulator micropower OTA,1996,IEEE Journal of Solid-State Circuits,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030241117&doi=10.1109%2f4.535416&partnerID=40&md5=722ace59801a5d690a1ad3b6536dafb4,"Inst. de Ing. Eléctrica, Universidad de la República, Montevideo, Uruguay; Lab. de Microélectronique, Univ. Catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium","Silveira, F., Inst. de Ing. Eléctrica, Universidad de la República, Montevideo, Uruguay; Flandre, D., Lab. de Microélectronique, Univ. Catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium; Jespers, P.G.A., Lab. de Microélectronique, Univ. Catholique de Louvain, B-1348 Louvain-la-Neuve, Belgium",A new design methodology based on a unified treatment of all the regions of operation of the MOS transistor is proposed. It is intended for the design of CMOS analog circuits and especially suited for low power circuits where the moderate inversion region often is used because it provides a good compromise between speed and power consumption. The synthesis procedure is based on the relation between the ratio of the transconductance over dc drain current gm/ID and the normalized current ID/(W/L). The gm/ID indeed is a universal characteristic of all the transistors belonging to a same process. It may be derived from experimental measurements and fitted with simple analytical models. The method was applied successfully to the design of a silicon-on-insulator (SOI) micropower operational transconductance amplifier (OTA).
"Werner M., Delucchi C., Vögel H.-J., Maral G., De Ridder J.-J.",ATM-based routing in LEO/MEO satellite networks with intersatellite links,1997,IEEE Journal on Selected Areas in Communications,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030735996&doi=10.1109%2f49.553679&partnerID=40&md5=7d4ca7ed8cc6d9d0c42a2a618c1a1d6d,"Ger. Aerosp. Research Establishment, Inst. for Communications Technology, Wessling, Germany; Technical University Munich, Institute of Communication Networks, München, Germany; Ecl. Natl. Sup. des Telecom., Site de Toulouse, Toulouse Cedex, France; Darmstadt Technical University, Darmstadt, Germany; Inst. for Communications Technology, Ger. Aerosp. Research Establishment, Oberpfaffenhofen, Germany; ACTS Programs, Germany; University of Uruguay, Uruguay; Munich Technical University, Germany; European ACTS Programs; Munich Technical University, Germany; Institute of Communication Networks, Munich Technical University, Germany; Ecl. Ctrl. des Arts et Manufactures, Paris, France; French University, France; Ecl. Natl. Sup. des Telecom., France; Toulouse of ENST, France; Satellite Commun. Syst. Educ. R.; Ecl. Natl. Sup. Constructions A., Toulouse, France; Satellite Communication Systems, Ecl. Natl. Sup. des Telecom., France; Microwave Department","Werner, M., Ger. Aerosp. Research Establishment, Inst. for Communications Technology, Wessling, Germany, Darmstadt Technical University, Darmstadt, Germany, Inst. for Communications Technology, Ger. Aerosp. Research Establishment, Oberpfaffenhofen, Germany, ACTS Programs, Germany; Delucchi, C., Ger. Aerosp. Research Establishment, Inst. for Communications Technology, Wessling, Germany, Inst. for Communications Technology, Ger. Aerosp. Research Establishment, Oberpfaffenhofen, Germany, University of Uruguay, Uruguay, Munich Technical University, Germany, European ACTS Programs; Vögel, H.-J., Technical University Munich, Institute of Communication Networks, München, Germany, Munich Technical University, Germany, Institute of Communication Networks, Munich Technical University, Germany; Maral, G., Ecl. Natl. Sup. des Telecom., Site de Toulouse, Toulouse Cedex, France, Ecl. Ctrl. des Arts et Manufactures, Paris, France, French University, France, Ecl. Natl. Sup. des Telecom., France, Toulouse of ENST, France, Satellite Commun. Syst. Educ. R.; De Ridder, J.-J., Ecl. Natl. Sup. des Telecom., Site de Toulouse, Toulouse Cedex, France, Ecl. Natl. Sup. Constructions A., Toulouse, France, Satellite Communication Systems, Ecl. Natl. Sup. des Telecom., France, Microwave Department","An asynchronous transfer mode (ATM)-based concept for the routing of information in a low earth orbit/medium earth orbit (LEO/MEO) satellite system including intersatellite links (ISL's) is proposed. Specific emphasis is laid on the design of an ATM-based routing scheme for the ISL part of the system. The approach is to prepare a virtual topology by means of virtual path connections (VPC's) connecting all pairs of end nodes in the ISL subnetwork for a complete period in advance, similar to implementing a set of (time dependent) routing tables. The search for available end-to-end routes within the ISL network is based on a modified Dijkstra Shortest Path Algorithm (M-DSPA) capable of coping with the time-variant topology. With respect to the deterministic time variance of the considered ISL topologies, an analysis of optimization aspects for the selection of a path at call setup time is presented. The performance of the path search in combination with a specific optimization procedure is - by means of extensive simulations - evaluated for example LEO and MEO ISL topologies, respectively."
Rodríguez De Sensale G.,Strength development of concrete with rice-husk ash,2006,Cement and Concrete Composites,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144515529&doi=10.1016%2fj.cemconcomp.2005.09.005&partnerID=40&md5=9e4fbe1b1b4c0becaaf796def40f793e,"Facultad de Ingeniería, Julio Herrera y Reissig 565, CP 11300 Contevideo, Uruguay","Rodríguez De Sensale, G., Facultad de Ingeniería, Julio Herrera y Reissig 565, CP 11300 Contevideo, Uruguay","This paper presents a study on the development of compressive strength up to 91 days of concretes with rice-husk ash (RHA), in which residual RHA from a rice paddy milling industry in Uruguay and RHA produced by controlled incineration from the USA were used for comparison. Two different replacement percentages of cement by RHA, 10% and 20%, and three different water/cementicious material ratios (0.50, 0.40 and 0.32), were used. The results are compared with those of the concrete without RHA, with splitting tensile strength and air permeability. It is concluded that residual RHA provides a positive effect on the compressive strength at early ages, but the long term behavior of the concretes with RHA produced by controlled incineration was more significant. Results of splitting tensile and air permeability reveal the significance of the filler and pozzolanic effect for the concretes with residual RHA and RHA produced by controlled incineration. © 2005 Elsevier Ltd. All rights reserved."
"Riveros G., Green S., Cortes A., Gómez H., Marotti R.E., Dalchiele E.A.",Silver nanowire arrays electrochemically grown into nanoporous anodic alumina templates,2006,Nanotechnology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32644461419&doi=10.1088%2f0957-4484%2f17%2f2%2f037&partnerID=40&md5=89a2f3bd3bf6bc060542b413b30b1797,"Departamento de Qu'imica, Facultad de Ciencias, Universidad de Chile, PO Box 653, Santiago de Chile, Chile; Department of Physics, Umeå University, 90187 Umeå, Sweden; Instituto de Qu'imica, Facultad de Ciencias, Universidad Cat 'Olica de Valpara'iso, Casilla 4059, Valpara'iso, Chile; Instituto de F'isica, Facultad de Ingenier'ia, Herrera y Reissig 565, CC 30, 11000 Montevideo, Uruguay","Riveros, G., Departamento de Qu'imica, Facultad de Ciencias, Universidad de Chile, PO Box 653, Santiago de Chile, Chile; Green, S., Department of Physics, Umeå University, 90187 Umeå, Sweden; Cortes, A., Instituto de Qu'imica, Facultad de Ciencias, Universidad Cat 'Olica de Valpara'iso, Casilla 4059, Valpara'iso, Chile; Gómez, H., Instituto de Qu'imica, Facultad de Ciencias, Universidad Cat 'Olica de Valpara'iso, Casilla 4059, Valpara'iso, Chile; Marotti, R.E., Instituto de F'isica, Facultad de Ingenier'ia, Herrera y Reissig 565, CC 30, 11000 Montevideo, Uruguay; Dalchiele, E.A., Instituto de F'isica, Facultad de Ingenier'ia, Herrera y Reissig 565, CC 30, 11000 Montevideo, Uruguay","Silver nanowire arrays with high aspect ratios have been prepared using potentiostatic electrodeposition within the confined nanochannels of a commercial porous anodic aluminium oxide template. The nucleation and growth processes are intensively studied by current versus time transients. Scanning electron microscopy results show that the nanowires have a highly anisotropic structure with diameters and lengths of 170 nm and 58 νm, respectively, which coincide with the dimensions of the template used. Structural characterization using x-ray diffraction shows that the Ag nanowires are highly crystalline, and those obtained at higher overpotentials present a very strong [220] preferred crystallographic orientation. The optical properties of the silver nanowires embedded in the alumina template show a clear edge close to 320 nm, that is an expected value for a silver-alumina composite material. © 2006 IOP Publishing Ltd."
"Cuevas A., Febrero M., Fraiman R.",An anova test for functional data,2004,Computational Statistics and Data Analysis,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4544317990&doi=10.1016%2fj.csda.2003.10.021&partnerID=40&md5=e44cf939d54ab161a874fdc9208ccc35,"Departamento de Matemáticas, Facultad de Ciencias, Univ. Autónoma de Madrid, Madrid 28049, Spain; Departamento de Estadística, Univ. de Santiago de Compostela, Santiago de Compostela, Spain; Centro de Matemática, Universidad de la República, Montevideo, Uruguay","Cuevas, A., Departamento de Matemáticas, Facultad de Ciencias, Univ. Autónoma de Madrid, Madrid 28049, Spain; Febrero, M., Departamento de Estadística, Univ. de Santiago de Compostela, Santiago de Compostela, Spain; Fraiman, R., Centro de Matemática, Universidad de la República, Montevideo, Uruguay",Given k independent samples of functional data the problem of testing the null hypothesis of equality of their respective mean functions is considered. So the setting is quite similar to that of the classical one-way anova model but the k samples under study consist of functional data. A simple natural test for this problem is proposed. It can be seen as an asymptotic version of the well-known anova F-test. The asymptotic validity of the method is shown. A numerical Monte Carlo procedure is proposed to handle in practice the asymptotic distribution of the test statistic. A simulation study is included and a real-data example in experimental cardiology is considered in some detail. © 2003 Elsevier B.V. All rights reserved.
"Basei M.A.S., Frimmel H.E., Nutman A.P., Preciozzi F.",West Gondwana amalgamation based on detrital zircon ages from Neoproterozoic Ribeira and Dom Feliciano belts of South America and comparison with coeval sequences from SW Africa,2008,Geological Society Special Publication,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39549113654&doi=10.1144%2fSP294.13&partnerID=40&md5=6a8f57838176ecf6a5922ce450548f50,"Instituto de Geociências, Universidade de São Paulo, Rua do Lago 562, São Paulo, SP, Brazil; Department of Geological Sciences, University of Cape Town, Rondebosch 7701, South Africa; Institute of Mineralogy, University of Würzburg, Am Hubland, D-97074 Würzburg, Germany; Research School of Earth Sciences, Australian National University, Canberra, ACT, Australia; Beijing SHRIMP Centre, Chinese Academy of Geological Sciences, 26, Baiwanzhuang Road, Beijing 100037, China; Departamento de Geología, Instituto de Geología y Paleontología, Universidad de la República, Iguá 4225 Malvin Norte, 11400 Montevideo, Uruguay","Basei, M.A.S., Instituto de Geociências, Universidade de São Paulo, Rua do Lago 562, São Paulo, SP, Brazil; Frimmel, H.E., Department of Geological Sciences, University of Cape Town, Rondebosch 7701, South Africa, Institute of Mineralogy, University of Würzburg, Am Hubland, D-97074 Würzburg, Germany; Nutman, A.P., Research School of Earth Sciences, Australian National University, Canberra, ACT, Australia, Beijing SHRIMP Centre, Chinese Academy of Geological Sciences, 26, Baiwanzhuang Road, Beijing 100037, China; Preciozzi, F., Departamento de Geología, Instituto de Geología y Paleontología, Universidad de la República, Iguá 4225 Malvin Norte, 11400 Montevideo, Uruguay","Neoproterozoic - Cambrian amalgamation of West Gondwana involved the collision of several terranes of older crust that are now in eastern South America and western Africa. U-Pb (SHRIMP) detrital zircon ages from representative metasedimentary units of the Ribeira and Dom Feliciano belts (South America) and Gariep and Damara belts (Africa) provide constraints on the possible sediment source areas across probable suture zones. Ribeira detrital zircons are Palaeoproterozoic and Archaean. For the Dom Feliciano Belt, a contribution of Meso- and Neoproterozoic zircons is present, which definitely indicate Neoproterozoic sedimentation. It is proposed that the inflow of material to the Ribeira basin was essentially derived from the Parana-panema and Rio de la Plata cratons, whereas for the Damara and Gariep-Rocha belts source areas were from the Namaqua Belt. The Dom Feliciano Belt received sediments from the South American side and to a lesser degree from African sources. These results highlight the differences in the detrital zircon signatures across a proposed West Gondwanan suture, with those in the west being derived from distinctive South American basement sources and those in the east from distinctive African sources. © The Geological Society of London 2008."
"Sotkiewicz P.M., Vignolo J.M.",Nodal pricing for distribution networks: Efficient pricing for efficiency enhancing DG,2006,IEEE Transactions on Power Systems,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646364309&doi=10.1109%2fTPWRS.2006.873006&partnerID=40&md5=d413e2226f82e2710a113aeece3da361,"Public Utility Research Center, Department of Economics, University of Florida, Gainesville, FL 32611, United States; Instituto de Ingeniería Eléctrica, Universidad de la República, 11300 Montevideo, Uruguay","Sotkiewicz, P.M., Public Utility Research Center, Department of Economics, University of Florida, Gainesville, FL 32611, United States; Vignolo, J.M., Instituto de Ingeniería Eléctrica, Universidad de la República, 11300 Montevideo, Uruguay","As distributed generation (DG) becomes more widely deployed, distribution networks become more active and take on many of the same characteristics as transmission. We propose the use of nodal pricing that is often used in the pricing of short-term operations in transmission. As an economically efficient mechanism, nodal pricing would properly reward DG for reducing line losses through increased revenues at nodal prices and signal prospective DG where it ought to connect with the distribution network. Applying nodal pricing to a model distribution network, we show significant price differences between buses reflecting high marginal losses. Moreover, we show the contribution of a DG resource located at the end of the network to significant reductions in losses and line loading. We also show the DG resource has significantly greater revenue under nodal pricing, reflecting its contribution to reduced line losses and loading. © 2006 IEEE."
"Feijer D., Paganini F.",Stability of primaldual gradient dynamics and applications to network optimization,2010,Automatica,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78249268463&doi=10.1016%2fj.automatica.2010.08.011&partnerID=40&md5=28ddfd464bdf88a2e292e6af1e7c8619,"Department of Electrical Engineering, Universidad ORT, Cuareim 1451, 11.100 Montevideo, Uruguay","Feijer, D., Department of Electrical Engineering, Universidad ORT, Cuareim 1451, 11.100 Montevideo, Uruguay; Paganini, F., Department of Electrical Engineering, Universidad ORT, Cuareim 1451, 11.100 Montevideo, Uruguay","This paper considers dynamic laws that seek a saddle point of a function of two vector variables, by moving each in the direction of the corresponding partial gradient. This method has old roots in the classical work of Arrow, Hurwicz and Uzawa on convex optimization, and has seen renewed interest with its recent application to resource allocation in communication networks. This paper brings other tools to bear on this problem, in particular Krasovskii's method to find Lyapunov functions, and recently obtained extensions of the LaSalle invariance principle for hybrid systems. These methods are used to obtain stability proofs of these primaldual laws in different scenarios, and applications to cross-layer network optimization are exhibited. © 2010 Elsevier Ltd. All rights reserved."
"Mirasso C.R., Mulet J., Masoller C.",Chaos shift-keying encryption in chaotic external-cavity semiconductor lasers using a single-receiver scheme,2002,IEEE Photonics Technology Letters,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036538996&doi=10.1109%2f68.992576&partnerID=40&md5=6f313246ecc795b2da36889b6f660e4f,"Departament de Física, Universitat de les Illes Balears, E-07071 Palma de Mallorca, Spain; Instituto Mediterráneo de Estudios Avanzados, E-07071 Palma de Mallorca, Spain; Instituto de Física, Facultad de Ciencias, Universidad de la República, Igua 4225, Montevideo 11400, Uruguay","Mirasso, C.R., Departament de Física, Universitat de les Illes Balears, E-07071 Palma de Mallorca, Spain; Mulet, J., Instituto Mediterráneo de Estudios Avanzados, E-07071 Palma de Mallorca, Spain; Masoller, C., Instituto de Física, Facultad de Ciencias, Universidad de la República, Igua 4225, Montevideo 11400, Uruguay","In this letter, we numerically show that chaos shift-keying (CSK) encryption can be achieved by using a single receiver, thus providing a better performance when comparing with the traditional CSK scheme based on two receivers. We analyze the rate equation model for two unidirectionally coupled single-mode external-cavity semiconductor lasers operating in a chaotic regime. The message is encoded in the emitter by slightly varying its injection current. We find that under appropriate conditions, the receiver laser synchronizes to the chaotic emitter, filtering the encoded message and allowing message extraction."
